price_list_id,brand,seri,nama_varian,kapasitas,sku,model_indoor,model_outdoor,judul,type_ac,warna,btu,btu_range,daya_watt,daya_watt_range,kapasitas_kw,refrigerant,cspf,dimensi_indoor,berat_indoor_kg,dimensi_outdoor,berat_outdoor_kg,pipa_cair,pipa_gas,pipa_max_panjang_m,pipa_max_tinggi_m,bahan_koil,made_in,garansi,luas_ruangan_m2,fitur,deskripsi,sumber,sumber_url,diambil_pada
150,Daikin,STC15YV,Standar Nusantara,0.5 PK,FTC15YV14,FTC15YV14,RC15YV14,DAIKIN FTC15YV14 AC SPLIT 1/2 PK SUPER MINI SPLIT SERIES STANDARD,AC Standard,Putih,5000,5000 BTU/h,390,390 Watt,1.47,R-32,3.9,73 x 28 x 22 cm,8,65 x 46 x 24 cm,18,1/4,3/8,15,8,alumunium,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",10,"5000 Btu/h - Bisa mendinginkan ruangan sampai 10m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Low Voltage Protection - Secara otomatis mematikan AC saat daya listrik turun dibawah level tertentu. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Indoor dan Outdoor sudah di lapisi Blue Fin.","Rasakan kenyamanan maksimal dengan AC Daikin SMS Series FTC-Y, model terbaru tahun 2025 yang dirancang khusus untuk kebutuhan rumah tangga di Indonesia. Diproduksi langsung di Indonesia oleh Daikin, AC ini hadir dengan desain super mini yang hemat tempat namun tetap bertenaga.",selka.id + daikin.co.id,https://www.selka.id/daikin-ftc15nv14-ac-split-1-2pk-standart-putih-4874.html.html,2026-08-17
161,Daikin,STKE15YV,BETA Inverter,0.5 PK,FTKE15YV14,FTKE15YV14,RKE15YV14,DAIKIN FTKE15YV14 AC SPLIT 1/2 PK BETA INVERTER,AC Inverter,Putih,5000,5000 (2400 - 6500) BTU/h,380,380 (165 - 510) Watt,1.47,R-32,5.64,73 x 28 x 22 cm,8,65 x 46 x 24 cm,18,1/4,3/8,20,15,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",10,"5000 Btu/h - Bisa mendinginkan ruangan sampai 10m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Fast Cooling - Mempercepat pendinginan ruangan hingga 40% lebih cepat dengan menjaga kinerja kompresor pada kecepatan maksimum hingga suhu yang diinginkan tercapai. | Indoor dan Outdoor sudah di lapisi Blue Fin.",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftke15yv14-ac-split-12-pk-beta-inverter-6747.html,2026-08-17
106,Daikin,STKH15YV,ALPHA Inverter,0.5 PK,FTKH15YV14,FTKH15YV14,RKH15YV14,DAIKIN FTKH15YV14 AC SPLIT 1/2 PK ALPHA INVERTER,AC Inverter,Putih,5100,5100 (2400 - 6500) BTU/h,310,310 Watt,1.49,R-32,5.6,77 x 29 x 25 cm,9,65 x 46 x 24 cm,22,1/4,3/8,20,15,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",10,"5100 Btu/h - Bisa mendinginkan ruangan sampai 10m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa. | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Low Voltage Protection - Secara otomatis mematikan AC saat daya listrik turun dibawah level tertentu. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Indoor dan Outdoor sudah di lapisi Blue Fin. | Built In Wifi Adaptor",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkq15svm4-ac-split-1-2pk-inverter-putih-4865.html,2026-08-17
162,Daikin,STKE20YV,BETA Inverter,0.75 PK,FTKE20YV14,FTKE20YV14,RKE20YV14,DAIKIN FTKE20YV14 AC SPLIT 3/4 PK BETA INVERTER,AC Inverter,,7000,7.000 (3.400 - 8.200) BTU/h,615,615 (245 - 750) Watt,2.05,R-32,4.9,730 x 280 x 219 mm (P x T x L),,650 x 460 x 240 mm (P x T x L),,1/4,3/8,20,15,,Indonesia,,,,,daikin.co.id,https://www.daikin.co.id/beta-inverter-ftke-y,2026-08-17
107,Daikin,STKH20YV,ALPHA Inverter,0.75 PK,FTKH20YV14,FTKH20YV14,RKH20YV14,DAIKIN FTKH20YV14 AC SPLIT 3/4 PK ALPHA INVERTER,AC Inverter,Putih,6800,6800 (3400 - 9000) BTU/h,450,450 (190 - 1080) Watt,1.99,R-32,8.18,77 x 29 x 25 cm,9,68 x 55 x 29 cm,24,1/4,3/8,20,15,tembaga,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",12,"6800 Btu/h - Bisa mendinginkan ruangan sampai 12m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa. | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Low Voltage Protection - Secara otomatis mematikan AC saat daya listrik turun dibawah level tertentu. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Indoor dan Outdoor sudah di lapisi Blue Fin. | Built In Wifi Adaptor",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkq20svm4-ac-split-3-4pk-inverter-putih-4866.html,2026-08-17
151,Daikin,STC25YV,Standar Nusantara,1 PK,FTC25YV14,FTC25YV14,RC25YV14,DAIKIN FTC25YV14 AC SPLIT 1 PK SUPER MINI SPLIT SERIES STANDARD,AC Standard,Putih,9000,9000 BTU/h,750,750 Watt,2.64,R-32,3.68,73 x 28 x 22 cm,8,65 x 46 x 24 cm,23,1/4,3/8,20,12,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",16,"9000 Btu/h - Bisa mendinginkan ruangan sampai 16m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Low Voltage Protection - Secara otomatis mematikan AC saat daya listrik turun dibawah level tertentu. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Indoor dan Outdoor sudah di lapisi Blue Fin.","Rasakan kenyamanan maksimal dengan AC Daikin SMS Series FTC-Y, model terbaru tahun 2025 yang dirancang khusus untuk kebutuhan rumah tangga di Indonesia. Diproduksi langsung di Indonesia oleh Daikin, AC ini hadir dengan desain super mini yang hemat tempat namun tetap bertenaga.",selka.id + daikin.co.id,https://www.selka.id/daikin-ftc25nv14-ac-split-1pk-standard-putih-4876.html,2026-08-17
163,Daikin,STKE25YV,BETA Inverter,1 PK,FTKE25YV14,FTKE25YV14,RKE25YV14,DAIKIN FTKE25YV14 AC SPLIT 1 PK BETA INVERTER,AC Inverter,Putih,9000,9000 (3400 - 9200) BTU/h,900,900 (245 - 930) Watt,2.64,R-32,4.66,73 x 28 x 22 cm,8,65 x 46 x 24 cm,18,1/4,3/8,20,15,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",16,"9000 Btu/h - Bisa mendinginkan ruangan sampai 16m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Fast Cooling - Mempercepat pendinginan ruangan hingga 40% lebih cepat dengan menjaga kinerja kompresor pada kecepatan maksimum hingga suhu yang diinginkan tercapai. | Indoor dan Outdoor sudah di lapisi Blue Fin.",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftke25yv14-ac-split-1-pk-beta-inverter-6749.html,2026-08-17
108,Daikin,STKH25YV,ALPHA Inverter,1 PK,FTKH25YV14,FTKH25YV14,RKH25YV14,DAIKIN FTKH25YV14 AC SPLIT 1 PK ALPHA INVERTER,AC Inverter,Putih,9700,9700 (3400 - 11600) BTU/h,760,760 (190 - 1130) Watt,2.84,R-32,7.17,77 x 29 x 25 cm,9,68 x 55 x 29 cm,24,1/4,3/8,20,15,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",18,"9700 Btu/h - Bisa mendinginkan ruangan sampai 18m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Low Voltage Protection - Secara otomatis mematikan AC saat daya listrik turun dibawah level tertentu. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Indoor dan Outdoor sudah di lapisi Blue Fin. | Built In Wifi Adaptor",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkc25qv-ac-split-1-pk-inverter-smile-thailand-putih-2984.html,2026-08-17
101,Daikin,STKZ25,ZETA Inverter,1 PK,FTKZ25XVM4,FTKZ25XVM4,RKZ25XVM4,DAIKIN FTKZ25XVM4 AC SPLIT 1 PK ZETA INVERTER THAILAND,AC Inverter,Putih,8500,8500 (4100 - 12300) BTU/h,455,455 (160 - 890) Watt,2.5,R-32,8.23,92 x 24 x 30 cm,13,68 x 29 x 55 cm,27,1/4,3/8,,,,Thailand,"3 Tahun Sparepart, 3 Tahun Kompresor",16,"8500 Btu/h - Bisa mendinginkan ruangan sampai 16m2. | Garansi 3 Tahun Sparepart, 3 Tahun Kompresor. | Intelligent Eye - Intelligent Eye memiliki sensor inframerah yang mendeteksi gerakan manusia di zona kiri, kanan dan tengah. | Enzyme Blue Deodorizing Filter - Filter ini berguna untuk menghilangkan bau dan bakteri dengan daya serap yang luar biasa. Sehingga udara yang tersebar di dalam ruangan bisa didapatkan dengan maksimal. | Teknologi STREAMER - STREAMER bertugas mengurai virus, bakteri dan berbagai partikel berbahaya lainnya untuk memastikan kerja pemurnian udara berjalan optimal",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkm25svm4-ac-split-1pk-premium-inverter-thailand-5669.html,2026-08-17
152,Daikin,STC35YV,Standar Nusantara,1.5 PK,FTC35YV14,FTC35YV14,RC35YV14,"DAIKIN FTC35YV14 AC SPLIT 1,5 PK SUPER MINI SPLIT SERIES STANDARD",AC Standard,Putih,12000,12000 BTU/h,1040,1040 Watt,3.52,R-32,3.66,77 x 29 x 25 cm,9,68 x 55 x 29 cm,30,1/4,3/8,20,15,alumunium,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",22,"12000 Btu/h - Bisa mendinginkan ruangan sampai 22m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Low Voltage Protection - Secara otomatis mematikan AC saat daya listrik turun dibawah level tertentu. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Indoor dan Outdoor sudah di lapisi Blue Fin.","Rasakan kenyamanan maksimal dengan AC Daikin SMS Series FTC-Y, model terbaru tahun 2025 yang dirancang khusus untuk kebutuhan rumah tangga di Indonesia. Diproduksi langsung di Indonesia oleh Daikin, AC ini hadir dengan desain super mini yang hemat tempat namun tetap bertenaga.",selka.id + daikin.co.id,https://www.selka.id/daikin-ftc35nv14-ac-split-1-5pk-standard-putih-4877.html,2026-08-17
